Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",117.575000,-72.125000,90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",140.125000,-72.375000,90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",143.525000,-117.525000,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.922500,-112.930000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",117.960000,-108.905000,-90.000000,top
"D1","~","LED_D5.0mm",153.550000,-75.475000,-90.000000,top
"D2","~","LED_D5.0mm",161.439087,-75.385000,-90.000000,top
"D3","~","LED_D5.0mm",169.289087,-75.510000,-90.000000,top
"D4","11DQO6","D_DO-41_SOD81_P12.70mm_Horizontal",124.975000,-62.800000,0.000000,top
"D5","~","LED_D5.0mm",177.339087,-75.300000,-90.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",110.067500,-84.400000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",140.075000,-81.575000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",153.500000,-69.160000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",161.625000,-69.155000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",169.200000,-68.955000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",177.325000,-68.955000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",179.979087,-99.454087,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",179.929087,-102.079087,0.000000,top
"R7","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",148.600000,-117.525000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",179.929087,-104.779087,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",151.100000,-117.500000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",153.625000,-117.525000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.325000,-117.500000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.850000,-117.550000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",146.075000,-117.525000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.050000,-108.500000,0.000000,top
"R15","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.004087,-87.500000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.029087,-96.879087,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.029087,-91.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.029087,-94.354087,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.550000,-103.750000,-90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.550000,-108.975000,-90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",156.475000,-125.400000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",123.350000,-98.200000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",133.785000,-78.610000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",138.205000,-89.985000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",151.705000,-89.985000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",165.205000,-89.985000,0.000000,top
"U5","NE555P","DIP-8_W7.62mm",107.355000,-102.245000,0.000000,top
"U6","SN74LVC1G11","SOT-23-6",130.585000,-97.975000,180.000000,top
"U7","SA39-12EWA","HDSP-7401",187.424087,-93.119087,0.000000,top
